A,20180214,0.638,0.67,2018,2,14
AAL,20180125,0.617,0.95,2018,1,25
AAP,20180221,1.822,0.77,2018,2,21
AAPL,20180201,2.92,3.8902,2018,2,1
ABBV,20180126,1.499,1.48,2018,1,26
ABC,20180206,1.788,1.55,2018,2,6
ABT,20180124,0.704,0.74,2018,1,24
ADI,20180228,1.239,1.45,2018,2,28
ADM,20180206,0.616,0.82,2018,2,6
ADP,20180131,1.382,0.99,2018,1,31
ADS,20180125,4.872,3.7104,2018,1,25
ADSK,20180306,0.159,-0.5519,2018,3,6
AEP,20180125,1.005,0.85,2018,1,25
AES,20180227,0.29,0.43,2018,2,27
AET,20180130,2.653,1.25,2018,1,30
AFL,20180131,0.87,0.8,2018,1,31
AGN,20180206,3.648,4.86,2018,2,6
AIG,20180208,1.263,0.57,2018,2,8
AIV,20180201,0.07,0.141,2018,2,1
AIZ,20180208,1.8,1.84,2018,2,8
AJG,20180125,0.48,0.82,2018,1,25
AKAM,20180206,0.633,0.535,2018,2,6
ALB,20180227,1.192,1.34,2018,2,27
ALGN,20180130,0.868,1.19,2018,1,30
ALK,20180125,2.057,0.83,2018,1,25
ALL,20180207,2.076,2.09,2018,2,7
ALLE,20180220,0.812,1.11,2018,2,20
ALXN,20180208,1.676,0.7538,2018,2,8
AMAT,20180214,1.004,0.93,2018,2,14
AMD,20180130,0.019,0.0607,2018,1,30
AME,20180201,0.69,0.7,2018,2,1
AMG,20180129,3.707,4.68,2018,1,29
AMGN,20180201,3.139,2.8916,2018,2,1
AMT,20180227,0.827,0.5085,2018,2,27
AMZN,20180201,3.543,2.1512,2018,2,1
ANDV,20180215,1.404,0.7497,2018,2,15
ANSS,20180221,0.967,0.8159,2018,2,21
ANTM,20180131,4.035,1.29,2018,1,31
AON,20180202,1.784,2.34,2018,2,2
AOS,20180130,0.56,0.6,2018,1,30
APA,20180222,0.236,0.33,2018,2,22
APC,20180206,-0.122,0.18,2018,2,6
APD,20180126,1.637,1.73,2018,1,26
APH,20180124,0.775,0.86,2018,1,24
APTV,20180201,1.246,1.28,2018,2,1
ARE,20180129,0.464,0.4778,2018,1,29
ARNC,20180205,0.363,0.31,2018,2,5
ATVI,20180208,0.418,0.2843,2018,2,8
AVB,20180131,1.155,1.0977,2018,1,31
AVY,20180131,1.37,1.33,2018,1,31
AWK,20180220,0.578,0.69,2018,2,20
AXP,20180118,1.634,1.58,2018,1,18
AZO,20180227,12.365,10.0015,2018,2,27
BA,20180131,2.545,3.06,2018,1,31
BAC,20180117,0.57,0.476,2018,1,17
BAX,20180201,0.624,0.64,2018,2,1
BBT,20180118,0.888,0.84,2018,1,18
BBY,20180301,0.662,0.78,2018,3,1
BEN,20180130,0.699,0.8808,2018,1,30
BHF,20180212,2.15,0.37,2018,2,12
BHGE,20180124,0.22,0.15,2018,1,24
BIIB,20180125,5.798,4.2928,2018,1,25
BK,20180118,0.984,0.91,2018,1,18
BLK,20180112,6.11,6.24,2018,1,12
BLL,20180207,0.462,0.6,2018,2,7
BMY,20180205,0.795,0.68,2018,2,5
BSX,20180201,0.314,0.34,2018,2,1
BWA,20180208,1.033,1.07,2018,2,8
BXP,20180130,0.62,0.756,2018,1,30
C,20180116,1.505,1.2,2018,1,16
CA,20180130,0.614,0.5498,2018,1,30
CAH,20180208,1.453,1.51,2018,2,8
CAT,20180125,1.77,2.16,2018,1,25
CB,20180130,2.555,2.28,2018,1,30
CBOE,20180209,0.946,0.87,2018,2,9
CBS,20180215,1.21,1.15,2018,2,15
CCI,20180124,0.271,0.1993,2018,1,24
CDNS,20180131,0.34,0.325,2018,1,31
CELG,20180125,2.008,1.8357,2018,1,25
CERN,20180206,0.622,0.6044,2018,2,6
CF,20180214,0.065,-0.02,2018,2,14
CFG,20180119,0.722,0.71,2018,1,19
CHD,20180205,0.558,0.5231,2018,2,5
CHRW,20180130,0.844,0.8581,2018,1,30
CHTR,20180202,0.858,0.7714,2018,2,2
CI,20180201,2.85,1.94,2018,2,1
CINF,20180207,0.805,0.93,2018,2,7
CL,20180126,0.731,0.75,2018,1,26
CLX,20180202,1.299,1.7698,2018,2,2
CMA,20180116,1.365,1.28,2018,1,16
CMCSA,20180124,0.558,0.49,2018,1,24
CME,20180201,1.341,1.12,2018,2,1
CMG,20180206,2.046,1.3449,2018,2,6
CMI,20180206,2.656,3.03,2018,2,6
CMS,20180214,0.78,0.51,2018,2,14
CNC,20180206,1.18,0.97,2018,2,6
CNP,20180222,0.399,0.3269,2018,2,22
COF,20180123,2.191,1.62,2018,1,23
COG,20180223,0.243,0.1407,2018,2,23
COL,20180126,1.733,1.59,2018,1,26
COO,20180308,2.88,2.65,2018,3,8
COP,20180201,0.356,0.45,2018,2,1
COST,20180307,1.549,1.3617,2018,3,7
COTY,20180208,0.156,0.32,2018,2,8
CPB,20180216,0.63,0.92,2018,2,16
CRM,20180228,0.371,0.0696,2018,2,28
CSCO,20180214,0.618,0.5234,2018,2,14
CSX,20180116,0.69,0.64,2018,1,16
CTL,20180214,0.338,0.18,2018,2,14
CTSH,20180207,1.014,1.056,2018,2,7
CTXS,20180131,1.023,1.3574,2018,1,31
CVS,20180208,1.221,1.92,2018,2,8
CVX,20180202,1.341,0.672,2018,2,2
CXO,20180220,0.516,0.66,2018,2,20
D,20180129,1.125,0.91,2018,1,29
DAL,20180111,1.723,0.96,2018,1,11
DE,20180216,2.831,1.57,2018,2,16
DFS,20180124,1.629,1.558,2018,1,24
DHI,20180131,0.69,0.7958,2018,1,31
DHR,20180130,1.08,1.19,2018,1,30
DIS,20180206,1.589,1.89,2018,2,6
DISCA,20180227,0.537,0.47,2018,2,27
DISCK,20180227,0.537,0.47,2018,2,27
DISH,20180221,0.592,0.5311,2018,2,21
DLR,20180215,0.4,0.1153,2018,2,15
DLTR,20180307,1.168,1.01,2018,3,7
DOV,20180130,0.85,1.13,2018,1,30
DPS,20180214,0.971,1.3432,2018,2,14
DRE,20180131,0.07,0.52,2018,1,31
DTE,20180216,1.79,1.26,2018,2,16
DUK,20180220,1.088,0.94,2018,2,20
DVA,20180213,0.783,0.92,2018,2,13
DVN,20180220,0.59,0.38,2018,2,20
DWDP,20180201,1.155,0.83,2018,2,1
DXC,20180208,2.06,2.15,2018,2,8
EA,20180130,1.107,-0.0282,2018,1,30
EBAY,20180131,0.522,0.2582,2018,1,31
ECL,20180220,1.274,1.39,2018,2,20
ED,20180215,1.308,0.8,2018,2,15
EFX,20180301,1.38,1.39,2018,3,1
EIX,20180222,1.05,1.1,2018,2,22
EL,20180202,0.987,1.52,2018,2,2
EMN,20180201,1.99,1.62,2018,2,1
EMR,20180206,0.694,0.6004,2018,2,6
EOG,20180227,0.53,0.69,2018,2,27
EQIX,20180214,1.445,1.0771,2018,2,14
EQR,20180130,0.305,0.3071,2018,1,30
EQT,20180215,0.578,0.76,2018,2,15
ES,20180222,0.883,0.7464,2018,2,22
ESRX,20180227,1.57,2.16,2018,2,27
ESS,20180207,1.09,1.5946,2018,2,7
ETFC,20180125,0.678,0.6436,2018,1,25
ETN,20180201,1.082,1.29,2018,2,1
ETR,20180223,1.13,0.76,2018,2,23
EVHC,20180227,0.657,0.3391,2018,2,27
EW,20180201,1.019,0.94,2018,2,1
EXC,20180207,0.8,0.55,2018,2,7
EXPD,20180220,0.549,0.7143,2018,2,20
EXPE,20180208,0.067,0.3473,2018,2,8
EXR,20180220,0.675,0.6614,2018,2,20
F,20180124,0.424,0.39,2018,1,24
FAST,20180117,0.56,0.45,2018,1,17
FB,20180131,1.57,2.2126,2018,1,31
FBHS,20180201,0.567,0.8,2018,2,1
FCX,20180125,0.441,0.51,2018,1,25
FE,20180220,0.51,0.71,2018,2,20
FFIV,20180124,2.094,1.7113,2018,1,24
FIS,20180206,0.995,1.36,2018,2,6
FISV,20180207,0.681,0.705,2018,2,7
FITB,20180123,0.456,0.52,2018,1,23
FL,20180302,1.289,0.87,2018,3,2
FLIR,20180214,0.434,0.58,2018,2,14
FLR,20180220,0.573,0.7,2018,2,20
FLS,20180215,0.335,0.68,2018,2,15
FMC,20180212,1.07,1.1,2018,2,12
FOX,20180207,0.532,0.42,2018,2,7
FOXA,20180207,0.532,0.42,2018,2,7
FRT,20180213,0.763,0.7293,2018,2,13
FTI,20180221,0.329,0.2,2018,2,21
FTV,20180208,0.688,0.82,2018,2,8
GD,20180124,2.466,2.5,2018,1,24
GE,20180124,0.236,0.27,2018,1,24
GGP,20180207,0.127,0.21,2018,2,7
GILD,20180206,1.836,1.4128,2018,2,6
GLW,20180130,0.372,0.49,2018,1,30
GM,20180206,1.551,1.65,2018,2,6
GOOGL,20180201,12.053,9.848,2018,2,1
GPC,20180220,1.466,1.12,2018,2,20
GPN,20180215,1.049,1.07,2018,2,15
GRMN,20180221,0.551,0.79,2018,2,21
GS,20180117,4.456,5.68,2018,1,17
GT,20180208,0.81,0.99,2018,2,8
GWW,20180124,2.85,2.94,2018,1,24
HAL,20180122,0.539,0.53,2018,1,22
HAS,20180207,0.538,2.3,2018,2,7
HBAN,20180123,0.254,0.26,2018,1,23
HBI,20180208,0.307,0.52,2018,2,8
HCA,20180130,1.75,2.13,2018,1,30
HCP,20180213,0.198,0.1346,2018,2,13
HD,20180220,1.879,1.8441,2018,2,20
HES,20180205,-0.855,-1.01,2018,2,5
HIG,20180208,0.998,0.81,2018,2,8
HII,20180215,2.984,3.11,2018,2,15
HLT,20180214,0.438,0.54,2018,2,14
HOG,20180130,1.239,0.4759,2018,1,30
HOLX,20180208,0.509,0.55,2018,2,8
HON,20180126,1.956,1.85,2018,1,26
HP,20180125,-0.107,-0.02,2018,1,25
HPE,20180222,0.259,0.31,2018,2,22
HPQ,20180222,0.438,0.44,2018,2,22
HRB,20180306,3.748,-0.7094,2018,3,6
HRL,20180222,0.402,0.41,2018,2,22
HRS,20180130,1.584,1.67,2018,1,30
HSIC,20180220,0.89,0.97,2018,2,20
HST,20180221,0.155,0.1244,2018,2,21
HSY,20180201,1.399,1.03,2018,2,1
HUM,20180207,3.18,2.06,2018,2,7
IBM,20180118,3.139,5.18,2018,1,18
ICE,20180207,0.832,0.73,2018,2,7
IDXX,20180201,0.78,0.7775,2018,2,1
IFF,20180214,1.577,1.4,2018,2,14
ILMN,20180130,1.026,1.44,2018,1,30
INCY,20180215,0.167,-0.6116,2018,2,15
INTC,20180125,0.725,1.08,2018,1,25
INTU,20180222,4.306,-0.0613,2018,2,22
IP,20180201,0.988,1.27,2018,2,1
IPG,20180214,0.024,0.79,2018,2,14
